frame,sim_time_T0,n_aggregates,agg_id,n_particles,mass_Mearth,cx_AU,cy_AU,cz_AU,vx,vy,vz,dist_center_AU,r_cyl
49999,5000.0,1332,153,101,101.0,-50.592899322509766,-0.08938899636268616,13.947500228881836,-0.040088001638650894,0.0003985920047853142,-0.13215899467468262,52.48030090332031,52.48022698590649
49999,5000.0,1332,268,89,89.0,26.742700576782227,0.13548800349235535,-44.713600158691406,0.1274549961090088,-2.86683007288957e-05,0.05179399996995926,52.100799560546875,52.10065329044115
49999,5000.0,1332,323,85,85.0,48.16999816894531,0.284498006105423,23.139699935913086,-0.058340899646282196,0.00041942999814637005,0.12191200256347656,53.440399169921875,53.439633575842294
49999,5000.0,1332,26,80,80.0,2.679680109024048,0.1895570009946823,49.21480178833008,-0.13811400532722473,0.001784719992429018,0.01259129960089922,49.28810119628906,49.287700296841976
49999,5000.0,1332,205,79,79.0,54.32849884033203,-0.16965900361537933,-12.006099700927734,0.045792799443006516,-0.00020798300101887435,0.1255819946527481,55.63949966430664,55.6393045991103
49999,5000.0,1332,4,79,79.0,-39.07160186767578,0.08428280055522919,32.04880142211914,-0.09159830212593079,3.872020170092583e-05,-0.10662300139665604,50.534400939941406,50.5343026577056
49999,5000.0,1332,221,72,72.0,50.175201416015625,-0.14878100156784058,-25.527999877929688,0.07527689635753632,-0.00022164999973028898,0.1094139963388443,56.296199798583984,56.29591117395041
49999,5000.0,1332,160,66,66.0,50.277400970458984,0.3169719874858856,-16.277099609375,0.06058280169963837,1.0338600077375304e-05,0.12197600305080414,52.84749984741211,52.84658002215305
49999,5000.0,1332,41,64,64.0,-44.62189865112305,0.16097800433635712,25.915800094604492,-0.07204309850931168,0.00011971200001426041,-0.11908400058746338,51.60200119018555,51.60176870781271
49999,5000.0,1332,67,62,62.0,-5.938360214233398,0.2691659927368164,-52.24589920043945,0.1327199935913086,0.00012549399980343878,-0.03586370125412941,52.58300018310547,52.58229840256576
49999,5000.0,1332,18,53,53.0,9.783690452575684,0.3517189919948578,-51.25659942626953,0.1376349925994873,0.00043181999353691936,0.005081370007246733,52.183101654052734,52.18198524028072
49999,5000.0,1332,232,53,53.0,-5.503280162811279,0.03092229925096035,49.18000030517578,-0.14202900230884552,0.00038437999319285154,-0.013729999773204327,49.486900329589844,49.48695305398668
49999,5000.0,1332,349,53,53.0,-42.29199981689453,0.0804004967212677,28.707300186157227,-0.07883960008621216,0.0005088869947940111,-0.11431899666786194,51.11479949951172,51.11479563189459
49999,5000.0,1332,46,51,51.0,42.57109832763672,0.21448199450969696,-37.46549987792969,0.09976469725370407,4.27982013206929e-06,0.08675110340118408,56.70989990234375,56.709453302994056
49999,5000.0,1332,3,50,50.0,16.21489906311035,-0.0425679013133049,-49.760398864746094,0.1354130059480667,0.0003382239956408739,0.0226879995316267,52.33570098876953,52.335649865129994
49999,5000.0,1332,65,50,50.0,-11.182100296020508,0.3429259955883026,47.89849853515625,-0.1389079988002777,0.0017953900387510657,-0.02948709949851036,49.187599182128906,49.18643643274665
49999,5000.0,1332,300,50,50.0,27.708200454711914,-0.04864659905433655,-49.85350036621094,0.12250600010156631,7.70719998399727e-05,0.0482821986079216,57.03609848022461,57.03609270630564
49999,5000.0,1332,208,48,48.0,-13.955599784851074,0.37672001123428345,47.51559829711914,-0.13672399520874023,-0.00011116899986518547,-0.03748229891061783,49.52410125732422,49.52262964431641
